"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C73","0603","287.052mm","219.31mm","285.496mm","219.202mm","287.852mm","219.31mm","T","90.00","100nF"
"C74","0603","287.052mm","217.278mm","285.496mm","217.17mm","287.852mm","217.278mm","T","90.00","100nF"
"C75","0603","287.052mm","214.865mm","285.496mm","214.757mm","287.852mm","214.865mm","T","90.00","100nF"
"C76","0603","287.052mm","209.15mm","285.496mm","209.042mm","287.852mm","209.15mm","T","90.00","100nF"
"C77","0805","315.087mm","150.114mm","313.944mm","150.114mm","316.23mm","150.114mm","T","360.00","100nF"
"DL","USBmicro_B","393.053mm","244.741mm","395.732mm","244.983mm","393.053mm","243.441mm","T","270.00","USB_5pin"
"DRAIN","SMA_SMT","188.595mm","274.8498mm","188.595mm","274.945mm","188.595mm","274.8498mm","T","90.00","SMA"
"GATE","SMA_SMT","188.595mm","194.8498mm","188.595mm","194.945mm","188.595mm","194.8498mm","T","90.00","SMA"
"SUB","SMA_SMT","188.595mm","234.8498mm","188.595mm","234.945mm","188.595mm","234.8498mm","T","90.00","SMA"
"K2","Relay_OMRON5V","242.824mm","218.44mm","247.904mm","220.98mm","247.904mm","220.98mm","T","270.00","Relay"
"K3","Relay_OMRON5V","242.824mm","209.55mm","247.904mm","212.09mm","247.904mm","212.09mm","T","270.00","Relay"
"K4","Relay_OMRON5V","242.824mm","200.66mm","247.904mm","203.2mm","247.904mm","203.2mm","T","270.00","Relay"
"L1","0805","378.46mm","224.536mm","377.317mm","224.536mm","379.603mm","224.536mm","T","360.00","10uH"
"L3","1206","318.265mm","156.464mm","316.865mm","156.464mm","316.865mm","156.464mm","T","360.00","10uH"
"PWR_5V","PWR_3T","322.754mm","294.513mm","317.754mm","294.513mm","317.754mm","294.513mm","T","90.00","Header 3"
"PWR_20V","PWR_3T","247.57mm","294.767mm","242.57mm","294.767mm","242.57mm","294.767mm","T","90.00","Header 3"
"Q1","SOT-23","252.1021mm","222.7645mm","250.063mm","220.599mm","253.1181mm","221.812mm","T","90.00","NUD3112"
"Q2","SOT-23","252.1021mm","214.0015mm","250.063mm","211.836mm","253.1181mm","213.049mm","T","90.00","NUD3112"
"Q3","SOT-23","252.1021mm","205.1115mm","250.063mm","202.946mm","253.1181mm","204.159mm","T","90.00","NUD3112"
"Q4","SOT-23","252.1021mm","196.0945mm","250.063mm","193.929mm","253.1181mm","195.142mm","T","90.00","NUD3112"
"R4","0805","233.426mm","227.33mm","234.569mm","227.33mm","232.283mm","227.33mm","T","180.00","Res1"
"R5","0805","233.426mm","218.44mm","234.569mm","218.44mm","232.283mm","218.44mm","T","180.00","Res1"
"R6","0805","233.426mm","209.55mm","234.569mm","209.55mm","232.283mm","209.55mm","T","180.00","Res1"
"R7","0805","233.426mm","200.66mm","234.569mm","200.66mm","232.283mm","200.66mm","T","180.00","100K"
